9384 886
9988 36 156
7091 540 136
2238 496 140
2398 128 397
165 150 238
1133 981 926
7894 393 660
4921 90 66
4464 193 10
4898 861 20
321 201 408
3829 293 948
6965 531 796
4457 929 277
9206 446 427
4444 931 760
7370 825 153
3030 98 244
1449 914 789
4811 812 650
9831 485 203
3239 315 496
3539 632 380
2336 442 661
4613 648 108
1392 93 391
3152 815 217
9305 198 667
901 647 934
5690 458 746
1692 642 584
8896 233 251
744 773 235
3124 109 677
4786 74 326
2246 466 771
2989 618 586
8558 923 136
226 177 783
5160 867 594
8258 912 236
9842 808 469
6445 552 242
8681 29 703
7358 167 777
8036 765 595
8807 754 213
9746 313 489
3882 539 666
9018 51 885
3612 309 149
200 504 957
5669 949 862
6264 630 891
4319 341 410
4449 377 175
8044 537 929
4610 635 242
7099 869 133
9117 887 184
6354 851 846
504 51 350
6813 73 651
9675 337 634
4918 656 975
7328 105 704
5503 502 241
8785 112 876
3027 211 98
7513 680 985
4697 386 189
1895 890 240
6245 56 313
6897 83 2
2531 2 659
6858 682 116
1562 538 618
1804 323 730
32 702 293
6482 215 325
7468 265 64
5657 160 306
1249 406 362
9915 655 446
7917 538 800
9576 396 482
2045 310 20
7015 466 343
9098 851 46
1743 333 261
421 801 878
1485 810 39
1791 412 797
8154 327 452
6600 244 342
8400 173 90
7234 570 400
2255 585 867
4950 683 718
1996 779 51
3610 200 205
4488 685 367
2879 476 779
8676 982 458
5128 934 703
3822 686 228
8912 921 798
8313 176 735
180 478 771
898 475 550
3301 437 750
8506 277 787
1226 157 615
5 833 598
3816 314 532
1519 136 219
8099 49 492
9249 362 20
1984 894 498
1755 144 325
6657 445 762
4407 304 392
5546 530 549
9162 887 734
9760 703 48
6644 574 537
8215 673 938
1707 922 652
5727 259 546
5226 14 42
8551 24 487
5666 783 143
1058 330 673
3959 492 913
6693 604 616
7094 248 191
2631 816 216
8569 523 491
9573 603 750
3119 181 116
5513 84 140
1000 750 924
3496 160 254
1521 119 98
1434 165 702
7051 259 302
2594 242 118
9810 163 994
653 736 597
4403 207 778
5520 720 862
7012 72 965
6936 568 125
3542 442 597
9640 876 762
7694 279 373
7997 225 967
1467 388 130
3461 41 218
2410 445 425
3540 317 497
5403 329 569
2720 266 490
197 808 932
8146 801 160
3260 495 440
2633 844 17
1600 312 405
5082 125 447
6300 536 244
1077 76 561
8574 831 890
6144 903 508
9986 101 669
8918 599 470
7078 860 965
7870 845 810
3888 446 122
7645 880 599
7092 181 487
5688 610 916
6249 185 747
8492 681 3
9352 667 456
6021 937 55
4491 15 915
2457 238 761
4267 478 559
7741 123 439
2692 568 972
5180 256 935
5096 858 120
4195 702 801
5198 54 820
4654 76 757
7062 567 772
2977 376 362
4090 995 840
2001 88 316
1793 781 884
9765 961 492
9700 57 702
172 604 404
7325 803 459
1145 809 887
6902 871 454
8027 201 183
8741 643 178
6582 645 267
8250 438 48
8134 555 361
978 608 770
6681 780 374
6437 106 529
6896 603 339
3135 858 562
590 885 115
7125 626 759
4303 560 404
8922 810 842
970 296 397
4683 627 5
2453 308 138
4828 745 596
9709 994 199
9048 129 57
8963 71 294
6078 196 273
7189 852 833
1593 774 996
3787 97 644
3537 780 271
6894 234 579
4032 414 677
8628 123 23
8180 524 504
9589 487 576
884 917 124
7157 107 976
1342 52 103
1690 840 200
6335 377 980
2606 271 566
3538 656 980
5567 636 456
5590 168 980
3094 758 819
5022 994 88
2147 503 195
1475 197 600
5578 888 792
8130 223 169
7463 181 792
6029 719 800
5010 286 789
466 228 957
7798 323 715
9617 697 61
4705 196 564
253 672 762
4205 602 650
3997 85 225
9518 548 406
7662 577 478
2463 939 116
5252 757 345
561 555 20
5277 524 717
5690 582 914
6255 187 938
1017 392 892
8019 741 977
3596 259 525
4002 273 455
1832 736 394
9949 340 504
294 902 59
2314 531 936
7383 221 870
1297 828 57
4587 197 801
6480 568 894
1457 164 153
3335 519 426
1790 351 515
4536 652 207
2040 946 461
8452 612 344
3388 996 918
610 645 746
4019 233 296
7820 65 864
5066 522 29
6219 209 548
7997 351 251
2864 888 904
6072 928 202
885 732 815
6230 472 163
4148 82 160
7246 101 745
6542 273 810
6407 339 685
436 910 894
5336 260 246
2939 124 486
6843 548 766
6398 434 499
1213 16 971
7728 164 406
888 410 507
1634 305 133
6444 712 472
9481 500 735
1376 188 995
2974 127 471
2460 323 20
8226 73 806
8725 286 822
49 366 338
6455 606 100
8314 592 405
3447 389 469
3272 870 321
4007 246 509
6354 220 989
6825 32 664
4197 259 737
9355 984 375
8529 33 93
5867 840 699
1320 155 292
8725 602 33
3547 226 903
9868 233 502
5730 939 74
7719 117 107
1735 314 366
1472 22 702
7199 551 88
292 771 928
7991 91 435
4635 168 38
6668 715 264
3572 936 850
9426 666 141
4500 737 258
7607 472 925
3325 944 947
4028 143 850
6116 435 621
2396 778 712
4832 414 881
3222 434 948
838 358 884
8040 784 902
1182 285 639
9792 244 111
1717 570 407
9016 598 902
3867 66 689
4840 814 468
553 646 234
8786 220 668
3086 59 27
3323 451 163
5225 633 448
2865 426 693
7976 495 263
8384 864 213
7638 731 279
3328 571 445
9796 476 444
8030 614 664
1050 53 75
2429 376 527
1593 953 512
9393 818 290
7086 147 786
701 883 650
7914 521 733
7545 849 656
8343 645 485
8787 27 451
8451 430 504
879 211 232
7758 804 186
270 550 4
4561 636 503
8699 690 386
1701 956 908
3786 854 109
9794 197 107
279 984 486
3083 787 916
4939 18 128
9172 776 284
7358 47 834
8714 960 823
7570 11 865
5956 64 821
4216 202 27
9326 996 576
3785 628 912
9271 711 700
9540 2 70
7020 174 847
3304 884 246
491 951 206
5666 521 569
9531 829 633
2704 46 835
2732 724 183
4308 509 811
6221 132 874
3273 672 877
6343 692 403
9542 997 288
6788 840 591
8994 506 112
3915 389 941
548 93 339
1735 177 415
919 486 276
1082 59 409
8957 684 81
2186 27 126
3589 922 475
6877 710 315
3468 57 173
932 972 562
5226 873 7
6917 608 185
5333 879 23
6961 314 82
8370 271 766
1804 809 145
7930 398 67
6405 628 778
4072 448 187
245 381 159
7159 959 384
1166 876 345
1351 209 224
8374 171 538
8456 893 161
7574 49 970
2072 979 721
1491 736 349
2621 808 797
808 405 530
9968 564 489
3352 731 366
2697 82 927
5274 809 450
2164 617 696
8678 192 745
7000 616 725
721 107 813
9422 729 974
220 537 379
3102 857 296
592 562 27
5958 259 461
7237 885 270
8688 402 240
1384 80 432
7129 80 400
206 154 507
3372 576 236
4346 148 774
6077 251 631
9373 195 193
5400 505 805
8214 742 42
9836 782 444
5076 518 524
7860 0 957
260 206 111
3768 930 39
7356 276 188
9130 354 791
8114 727 338
7659 480 843
6816 46 585
859 882 720
8303 311 238
4180 171 238
5489 784 797
6600 904 727
5991 260 4
7531 391 710
674 857 789
6012 516 269
5855 685 315
3793 544 550
8513 199 861
4103 731 32
1342 220 168
9491 172 72
9218 516 333
7574 47 76
636 722 933
1426 734 801
1695 942 486
2363 87 382
6913 600 934
6774 55 17
6158 749 238
5327 240 762
751 459 278
7084 385 678
6160 22 400
2445 448 486
7247 495 780
85 858 867
1820 123 819
7106 897 875
123 408 624
2713 87 865
1476 838 676
5106 923 413
4784 435 435
7536 881 235
9375 480 731
6155 917 941
8023 737 65
6194 195 962
2069 319 722
6046 32 809
1263 860 648
6939 967 923
3352 103 358
1140 640 239
5375 367 719
4106 522 637
6048 897 726
4465 444 922
3427 513 593
4502 911 625
311 174 838
4311 113 157
7234 818 612
1593 310 604
6184 685 971
8256 144 846
7893 544 743
5971 9 539
3245 788 53
9838 290 964
4816 954 491
9654 265 604
2163 500 774
775 445 84
9380 629 122
7351 885 266
7197 130 162
3293 454 171
1832 699 311
1237 538 602
7554 706 908
2045 712 173
8001 875 25
5128 2 470
4564 382 100
1686 86 337
3304 635 468
5466 280 922
8989 465 973
7301 54 863
1255 608 569
1163 5 281
7688 359 508
1714 839 863
1184 403 245
8636 90 683
5974 746 671
3794 213 951
8068 554 768
8393 855 823
8257 462 783
5178 977 141
8812 666 500
1320 380 339
6183 916 94
2781 905 184
4816 879 931
9487 25 496
2791 445 50
6559 838 258
8382 95 72
2166 274 50
6307 86 68
5159 758 800
3850 294 716
6944 427 973
2481 243 852
3764 731 229
2612 522 674
1662 81 513
7272 816 608
4345 334 234
6747 993 672
5815 152 431
9615 354 77
5683 298 504
2657 131 747
2861 895 830
91 859 704
5117 522 138
3630 146 954
6591 843 640
9177 590 633
3850 405 137
4633 372 491
7710 408 141
8566 417 625
5665 630 872
8496 73 732
6200 191 606
1690 173 752
6996 764 596
636 294 186
5269 144 944
2406 129 668
2249 839 428
1743 405 845
3368 70 828
3592 918 901
2324 471 92
3930 161 618
5683 158 734
4631 794 28
4817 416 172
1113 174 653
3134 776 492
6562 871 249
6760 591 672
6588 183 942
2489 508 413
5934 438 927
6904 473 437
5638 104 583
7667 274 351
3191 739 526
6845 873 654
2689 436 525
9291 196 116
5963 136 299
257 977 807
2023 911 598
2950 815 71
2739 806 528
9322 473 154
7026 16 893
5552 861 767
6206 903 203
731 194 751
8847 509 239
498 766 216
5306 789 480
6256 91 647
2679 182 453
9207 857 278
3361 883 295
6255 787 508
7374 993 411
6929 76 605
1680 275 466
7271 773 233
3487 431 374
5319 687 818
6967 367 352
6772 574 209
6051 288 92
698 895 879
1206 269 224
6618 198 652
2575 230 927
5042 501 701
627 340 484
1353 660 172
6523 979 539
8876 751 465
4085 154 105
5530 852 0
8761 59 269
6338 29 467
8990 956 49
1918 350 550
1971 977 891
4455 683 903
1979 206 882
870 82 633
6688 520 788
2793 402 992
8146 163 51
3767 501 432
235 844 389
4636 762 739
5187 85 69
4430 892 752
1333 872 310
9215 94 745
1200 782 617
3340 928 19
6333 74 534
7736 841 388
4169 428 232
910 65 346
3001 604 431
1070 34 675
9174 719 547
7485 934 994
7582 486 776
7199 827 704
8218 512 130
2104 600 972
2492 769 752
1076 31 817
3422 33 421
4205 455 807
7881 630 526
2780 467 812
9774 49 299
5551 600 478
5607 818 342
1738 274 942
4062 767 64
2814 843 95
8984 266 480
7757 823 936
3565 704 918
443 485 385
1256 611 786
9907 514 386
9737 122 556
7079 212 830
6021 274 949
3437 440 793
3885 424 411
365 182 586
6653 99 291
5571 542 128
7308 798 739
9446 57 254
9184 794 728
1092 873 940
923 247 566
224 36 6
1017 921 431
5780 639 965
2367 292 64
5010 216 606
6490 876 757
229 675 166
835 859 961
3915 952 186
4855 227 785
6773 451 822
9780 821 743
5563 953 734
5528 672 379
9592 34 595
4550 524 823
1659 106 498
826 941 710
1787 857 14
4325 64 241
8111 838 44
2933 618 865
9028 533 171
6763 61 843
5494 5 878
8089 907 402
7264 567 860
6115 745 802
177 884 11
4191 209 75
1784 672 265
6828 605 235
3046 986 768
6217 101 829
1412 595 186
3642 36 94
9397 652 13
5257 767 758
2059 944 642
6422 135 203
498 271 876
115 100 833
2351 146 819
9119 715 272
2301 479 867
1487 122 255
3933 519 908
4946 776 675
1704 188 972
8698 610 459
254 460 731
8130 576 831
7963 927 329
5135 398 396
6407 699 875
3627 187 997
4882 120 868
3790 67 997
2818 123 185
5790 174 147
3249 428 960
3332 910 888
6515 225 815
2196 360 565
6592 120 265
3820 747 452
4817 981 924
8038 124 343
6035 942 819
7220 84 993
719 685 773
679 18 683
3567 533 908
1734 730 621
4300 322 741
3565 494 840
7369 664 173
3293 702 297
8989 737 591
9808 309 675
801 380 361
4926 60 379
7609 979 264
5869 714 994
8490 366 669
4583 283 163
7775 652 827
2949 297 881
6598 286 618
5190 94 279
865 247 660
9578 173 720
1957 782 51
7222 4 765
7568 494 483
3237 430 766
753 205 770
4932 506 68
3814 105 706
9784 295 801
64 512 400
1724 91 574
1796 400 708
3847 974 712
5965 543 559
2448 132 341
9567 237 898
8337 170 405
4757 984 510
1464 768 157
4617 184 669
5017 908 112
3943 56 513
2652 256 487
9716 221 30
3627 21 515
5320 588 752
6219 278 922
5624 35 258
6486 499 27
7643 116 211
2664 486 472
4777 429 528
2290 433 136
8777 502 357
8160 481 731
3675 802 671
2427 21 949
9350 997 985
960 483 836
7987 126 305
9551 790 791
7375 919 220
3255 209 6
7392 339 508
2101 499 989
9832 174 791
2856 953 164
6805 655 161
9142 616 644
1331 955 122
1636 506 265
1427 233 184
999 489 746
9357 881 85
9865 982 584
5207 167 110
7998 23 415
3515 180 71
4676 675 39
673 6 994
2795 642 853
6412 421 86
9949 772 927
5695 130 808
8780 347 143
3716 554 310
4178 905 685
2593 420 865
1016 448 892
407 121 898
8754 269 892
5607 681 665
1045 630 438
1973 325 920
5781 457 619
7276 173 174
9938 703 431
6623 649 203
6841 17 651
9733 425 773
6632 179 42
1876 138 723
542 183 706
6332 508 31
8604 642 841
7223 918 14
3749 857 70
2532 480 719
735 673 88
9387 407 865
9160 391 44
5554 267 534
2277 161 718
8335 845 226
367 449 220
6208 25 139
9574 774 996
996 659 828
3067 394 854
3156 781 261
8021 293 4
6418 847 623
3952 477 785
8022 812 630
601 179 432
3821 739 457
4960 666 583
308 662 242
6489 730 637
343 886 770
7956 259 64
2312 677 911
8935 630 388
1072 4 201
5055 605 732
9487 427 824
7944 739 490
6879 48 152
2474 889 882
9111 584 120
5233 540 380
7297 852 409
3561 139 391
9949 212 396
7502 267 1
235 754 780
3411 50 520
3901 281 920
9053 755 809
8288 218 393
4760 452 285
6492 749 489
6254 662 628
1645 612 840
7041 466 107
9395 53 213
6175 464 615
5047 365 897
6319 771 652
128 411 871
5873 171 323
1510 16 424
2999 270 87
1980 915 51
6820 309 517
5280 56 923
6845 583 387
9461 631 753
6358 950 876
10 431 287
2233 656 810
1908 519 826
6333 870 448
1772 850 716
1823 23 25
6692 655 81
6615 500 664
1355 313 647
8460 23 950
3336 386 733
6975 619 389
7785 528 908
4964 213 131
4764 985 981
2480 160 4
1505 204 11
3938 820 512
5955 527 177
2602 987 201
6552 323 587
4285 298 206
8027 435 86
9287 751 299
7418 516 636
752 996 796
6108 854 1
5120 792 173
984 99 700
3161 702 39
4362 606 362
949 244 12
1508 623 447
1594 262 199
3894 33 67
6530 785 63
7679 893 269
4032 13 414
8557 997 513
2609 511 567
4648 873 174
8010 175 770
2374 683 745
2821 629 7
3372 875 40
2439 406 177
8855 437 71
4124 469 436
8538 378 786
4404 987 297
7971 635 522
8497 997 697
267 371 732
364 544 362
1724 269 589
1764 708 995
3942 915 784
4365 392 605
1801 282 983
3587 686 970
9236 658 957
6759 155 954
9808 775 677
9893 139 222
2255 215 491
6196 980 551
9192 274 819
4328 639 211
2934 792 845
9917 380 532
4240 968 190
4197 727 697
504 536 472
5533 429 964
2107 36 179
3598 232 511
1502 776 137
4673 105 776
7236 391 921
4081 308 653
9613 548 621
8155 746 349
8205 602 237
29 135 18
3993 243 406
4525 193 990
3388 47 767
4526 720 224
8654 956 615
3927 390 275
7580 355 824
5202 511 922
3551 716 876
5140 745 11
7158 91 606
916 968 800
9906 708 199
6025 586 920
7249 593 228
9216 520 970
1844 101 326
6668 303 189
6942 206 257
3170 698 354
8181 208 445
3140 124 765
8940 30 826
6139 56 412
9411 657 5
5992 226 878
9962 70 979
3640 90 634
8829 32 840
86 202 538
7441 735 98
1238 875 222
2356 167 252
4182 659 660
3946 70 670
3952 414 896
830 729 966
2161 369 56
6795 199 440
987 637 994
9877 78 729
6975 669 957
3197 25 124
4801 207 783
1462 505 206
3132 809 972
5380 991 701
7346 152 71
4754 947 622
8194 934 259
7188 811 338
6269 138 359
2226 335 384
6703 137 943
9486 951 448
9044 435 258
5017 815 249
3718 161 754
5141 915 53
1763 461 988
23 649 151
3713 918 290
4072 497 977
9808 200 114
8751 38 417
7551 83 852
161 452 667
7411 170 180
517 664 447
3570 427 908
3910 802 909
5062 867 180
6704 939 677
2033 99 229
9500 850 267
6917 754 702
122 915 154
8141 678 677
8322 195 341
8121 766 120
9382 676 923
5643 90 790
6823 146 82
7852 180 181
9081 680 384
2701 597 138
1403 71 53
2910 213 732
4587 887 927
7928 360 693
1048 742 722
323 386 812
3114 561 959
2548 414 139
5729 847 171
4113 548 120
5251 304 192
5657 214 405
6389 801 292
668 81 652
5714 481 747
5436 805 485
7600 271 46
2559 819 460
5050 548 660
8221 14 208
5342 617 512
2886 274 78
6291 15 879
2935 36 312
939 750 794
6038 538 599
7523 138 222
8570 50 41
3382 452 941
1042 26 307
4251 720 925
7115 606 199
6194 897 567
2425 184 603
3738 475 353
7532 514 243
483 37 733
5705 607 135
2098 990 588
5391 32 614
9699 635 686
6624 103 292
8175 297 541
742 74 725
7697 812 200
8402 344 714
4645 179 104
6731 236 711
866 334 53
8454 726 438
420 777 425
2106 401 528
2750 928 177
2291 23 252
6368 720 64
9569 123 761
635 120 940
7091 851 177
1155 718 863
6208 524 941
5998 297 718
8424 755 471
6952 506 400
4130 149 423
2382 518 495
1798 439 970
3559 426 91
852 518 294
9381 673 364
1244 233 889
8186 232 538
6256 8 293
5728 312 151
7480 442 301
2255 176 819
7750 327 610
8721 886 36
6164 738 554
6810 119 579
5175 716 165
2416 254 397
8954 510 757
9599 590 69
751 70 864
1052 325 392
3223 428 719
6833 501 606
5221 17 696
9128 827 168
9707 354 884
5872 770 490
3621 76 0
1378 28 591
8800 779 13
3664 183 691
7408 758 119
9128 943 620
5086 164 989
9782 292 816
5302 0 171
6538 224 293
8028 198 722
6029 576 750
8972 728 881
4337 744 64
8028 153 174
499 281 117
471 367 281
460 501 574
7277 156 926
8800 694 502
7445 723 700
8519 752 629
5269 76 357
7502 413 102
3566 794 255
2092 293 888
7209 765 607
491 577 460
7417 854 616
1343 6 311
845 804 34
5898 323 138
1527 593 566
2884 447 331
6338 14 125
2945 458 771
1833 668 888
792 159 465
3253 576 672
7221 271 30
6532 468 834
1918 366 158
9408 893 103
7974 130 550
8306 468 916
4783 414 375
1554 599 43
5442 392 554
3260 997 482
5932 218 105
4962 103 573
7797 21 292
9307 430 537
8410 756 667
5312 62 136
7229 846 902
8956 752 853
4999 547 245
4905 807 594
3387 91 165
4492 53 268
5417 202 641
5709 509 423
3247 271 180
7266 936 594
7754 165 440
7656 473 545
1510 824 92
107 729 251
3054 468 342
1219 960 395
7487 729 950
128 791 811
4904 390 435
7084 656 371
7678 411 888
1471 419 361
16 281 185
1460 389 266
2711 443 734
6053 14 46
2800 501 775
750 981 918
5562 885 308
8349 969 317
1720 0 728
1960 471 499
5321 839 781
5858 299 522
2124 10 317
3858 63 331
1904 863 184
8031 966 165
7950 880 403
1258 229 724
1575 949 724
6655 261 547
507 582 386
8288 792 685
9162 916 695
9831 126 110
1514 30 974
1698 61 292
3215 11 172
4618 622 401
5695 549 702
1419 205 963
5967 64 897
9353 704 689
9391 866 605
2438 49 731
4549 563 113
4875 613 526
4167 828 890
4339 799 512
92 846 413
6794 265 970
9109 584 34
6006 938 738
9695 681 956
8652 119 5
6735 668 568
2200 895 533
6726 414 714
968 753 865
3480 197 711
1246 991 976
8216 100 561
1251 458 851
1341 505 884
1298 509 3
7303 244 24
7224 796 919
2757 875 334
9823 843 439
6688 676 637
5399 922 980
3728 490 433
7641 741 891
6492 435 397
2376 733 906
7731 388 503
755 612 299
9027 722 526
6713 545 370
8152 234 46
6141 985 320
1122 713 810
8555 354 904
798 846 339
1195 574 72
7454 306 460
9957 413 425
3608 440 499
5135 153 44
1857 658 630
903 799 616
6223 273 329
2385 180 684
4289 979 882
9628 526 809
6052 980 467
865 289 880
1290 250 673
2789 737 178
5185 594 836
8816 849 988
5432 424 613
8761 809 146
2797 99 125
4032 79 3
4841 132 984
9308 997 625
4540 639 875
9565 780 612
4744 965 558
932 781 407
4272 565 831
5886 679 993
7032 476 92
8509 508 171
7864 701 655
6200 9 4
9826 902 643
5053 467 423
7018 563 741
7576 496 522
3984 120 440
5167 6 119
7160 390 947
604 251 808
5128 116 509
6783 316 871
2788 494 773
783 548 592
3559 566 156
6300 142 4
4174 478 124
2614 998 483
6733 158 225
2033 763 477
9841 243 945
1350 26 613
2221 166 108
3346 302 8
4291 861 574
3447 161 68
803 335 899
7927 950 897
3410 35 407
6988 68 522
4465 261 765
2762 612 144
5375 185 662
4835 884 964
9843 175 825
3769 974 986
4190 777 674
5089 704 976
4338 467 363
2745 455 784
3620 272 45
9385 386 657
5881 113 195
9544 949 79
7508 144 254
9686 266 580
6024 456 357
698 545 413
9026 235 232
1390 980 39
6174 952 663
3219 338 49
229 571 163
5776 115 464
6855 976 960
461 662 226
41 38 682
2750 89 579
163 115 814
8396 857 147
4435 31 99
9099 603 789
1500 184 361
7015 312 828
6831 167 156
792 980 170
9018 373 209
2053 123 298
4984 286 413
5799 34 623
6298 822 6
3749 273 609
3891 773 145
2604 141 457
9432 972 976
941 764 308
4111 135 681
1320 540 804
9618 524 443
4384 675 829
7007 973 651
13 75 276
2975 966 402
2472 922 543
4282 706 515
1610 647 632
4919 759 119
6952 79 659
4109 50 183
2904 434 859
1733 793 184
7737 158 611
13 485 929
6415 958 851
3958 592 558
5826 202 205
6458 473 964
7577 426 396
7588 535 446
8771 791 232
5982 524 25
5519 261 535
1130 627 21
9412 42 331
263 353 923
5821 179 477
3379 989 951
4343 918 729
2739 506 616
4537 629 407
7769 612 283
2146 483 897
7682 965 524
55 377 918
1738 641 271
661 814 802
7490 193 143
793 889 61
7522 980 567
4490 518 197
1897 639 161
533 786 644
5430 820 961
2954 227 339
5872 965 332
4496 978 146
4650 820 340
2794 614 581
9207 488 561
8775 979 431
9324 228 71
6837 761 209
481 543 381
442 497 608
6133 722 925
1465 218 903
8612 220 75
7304 14 689
8237 222 530
7798 349 509
3230 25 89
2301 862 203
9862 695 746
7243 489 596
851 623 318
8776 440 888
8031 404 460
6106 60 827
148 297 401
7678 96 750
9539 678 127
3980 331 989
5183 193 36
1282 436 525
5230 287 500
6548 415 941
8788 798 697
248 256 758
75 756 55
3828 434 503
7578 325 181
6057 306 512
3398 841 705
6434 123 141
8312 353 780
5164 253 547
8457 393 697
3155 994 306
2913 421 62
2320 250 849
2824 180 174
4005 238 480
4518 636 322
575 423 797
6717 735 503
2849 899 108
7749 357 502
9446 512 496
6752 777 269
9815 97 519
2664 921 700
1190 279 938
6671 797 926
3345 724 349
6142 793 84
2997 643 336
4106 392 693
4608 190 557
7456 943 334
2725 110 431
597 126 705
2297 316 984
6587 339 133
6865 684 857
9567 179 651
6651 176 646
2339 634 38
2384 594 228
9941 402 523
627 480 633
4059 77 111
2116 726 428
6100 665 119
9585 530 804
442 97 335
4445 101 863
8091 792 850
5481 177 444
6062 118 847
6585 746 327
9571 157 404
4034 625 482
4814 77 147
4934 662 29
4090 456 479
8425 902 580
3640 345 372
7490 179 901
935 241 20
4134 178 118
9813 749 275
8569 136 252
9051 950 329
4198 884 991
3579 974 799
4058 751 701
4990 744 399
2363 234 578
1264 521 171
1636 7 349
7754 820 451
6381 389 587
9633 440 537
6314 990 422
3305 570 748
105 980 852
1158 971 596
909 686 182
4839 302 56
9010 939 63
6360 45 884
9163 779 273
8750 764 66
6287 79 408
3061 736 978
3162 193 311
5014 704 282
4962 613 968
4144 805 270
6200 815 561
1616 527 607
7500 690 738
5125 792 502
3543 432 933
6952 493 670
5282 7 215
2593 373 919
227 335 885
4195 832 690
8466 384 857
7379 0 737
5986 852 427
6076 330 220
4579 873 652
6864 177 497
3534 812 857
102 757 230
5021 985 918
8258 180 102
8300 998 486
4158 378 487
4895 716 691
9674 793 21
7246 724 247
250 588 776
8100 475 588
3957 577 346
5539 950 331
7809 209 863
4911 509 862
9398 19 240
9237 266 308
1928 293 101
5302 539 177
6549 790 766
5325 242 241
3266 551 818
6612 90 768
8295 252 329
6158 163 191
5020 913 210
8612 150 477
9273 431 770
6726 733 661
1904 634 803
1670 311 45
2263 577 596
7433 541 39
8553 188 291
3883 347 454
8074 719 368
1636 684 870
9465 957 301
7587 683 386
3249 587 372
3052 609 36
1450 224 965
6046 9 507
1437 563 47
2728 798 394
7535 224 114
8903 860 798
5125 326 107
1779 913 790
517 514 730
7890 567 691
1926 369 916
5891 415 277
2750 853 840
798 933 638
2544 468 214
3010 723 75
808 849 753
4267 628 666
1058 497 533
2140 387 100
2831 665 821
8099 909 236
5377 659 441
9569 809 727
4560 354 195
4774 364 919
1849 525 120
1602 792 100
1621 202 597
5154 342 337
1606 526 2
8779 977 911
15 354 923
5809 924 84
2536 484 790
4083 610 155
9354 460 32
3474 414 176
926 387 731
9524 893 73
9861 851 951
215 630 929
127 998 283
1402 159 559
8486 47 395
277 130 6
9784 485 818
4168 311 232
1344 238 972
5075 762 865
7501 975 69
1452 190 699
1381 669 49
9017 423 208
3928 910 255
4324 539 386
7682 323 223
9500 843 886
4084 187 124
3056 615 238
4274 468 213
9343 920 756
3394 654 777
6444 23 201
652 951 463
1260 627 2
5998 309 677
4221 809 520
2107 894 59
584 302 674
2822 576 142
1388 271 415
6496 666 421
4625 462 444
826 114 395
6289 726 375
7643 724 684
8320 297 846
5192 757 92
3252 341 394
278 515 323
3773 255 594
5188 751 612
4961 377 74
9405 555 541
5152 197 619
6527 840 344
7564 513 641
1410 705 398
8502 309 91
1896 588 607
8571 361 862
5166 901 966
4130 862 695
5557 267 250
6450 771 799
8069 299 992
2765 863 505
8407 273 562
6157 127 872
249 23 812
9856 595 173
9070 113 74
8036 595 936
7731 504 555
5334 954 326
7133 376 977
7125 141 192
9982 548 817
897 706 944
3121 307 320
6933 163 267
6106 233 380
8532 622 327
6468 705 832
8375 39 138
6701 525 514
7031 650 8
4223 985 556
6041 882 614
985 3 921
7305 936 436
9924 394 22
7656 926 644
984 746 349
8168 121 741
9306 174 266
5173 205 268
2181 429 605
5089 822 487
56 159 842
7329 817 130
6766 741 524
140 398 802
2784 382 548
1485 550 21
1578 208 196
3844 381 753
4465 914 182
7070 4 356
8910 60 516
3104 389 333
235 507 74
2759 647 472
1914 431 206
1462 269 108
8836 847 317
8032 44 50
5137 861 965
1672 283 969
28 545 381
7544 650 770
7877 885 278
7304 996 277
776 910 61
8335 725 330
5443 561 529
4112 945 925
3163 82 138
7480 106 422
9449 135 967
8182 679 969
8304 909 854
6582 213 203
2212 341 113
5273 676 190
3603 120 103
1484 232 400
2762 747 483
1900 227 589
2322 28 76
5642 210 756
8611 515 17
7818 449 230
6021 661 571
1486 934 248
5677 889 720
3780 374 952
181 136 700
16 36 927
4957 711 956
1386 705 518
4142 668 33
6511 486 483
6741 507 496
4664 346 431
5912 23 320
8632 155 46
6937 688 534
7637 56 923
916 366 634
6224 752 691
1743 894 359
5776 405 846
7611 498 705
3108 162 51
3891 427 426
7211 411 934
3610 348 622
3144 337 31
4067 254 397
5053 830 149
1744 573 395
9104 702 152
1302 665 650
8007 773 164
3411 16 591
6837 580 355
1123 190 703
98 334 393
129 754 999
2526 159 829
8675 904 755
5422 360 457
6574 662 474
1576 669 600
8740 432 616
6684 622 196
4039 745 386
4094 843 73
839 972 179
8838 850 338
668 877 242
775 299 954
8584 873 616
8058 449 638
8658 542 70
4275 578 44
4823 969 790
1210 63 985
5635 255 310
5814 93 160
9504 113 38
2099 888 337
9053 472 563
1670 883 364
660 541 906
3082 168 836
2127 992 805
5269 554 221
6254 189 476
7916 355 569
77 859 35
467 958 923
8156 12 748
9719 34 631
9436 46 172
9694 128 693
3531 607 685
1336 876 239
9909 483 428
7385 399 135
5307 828 994
4342 295 953
1617 804 317
9365 875 703
8348 311 749
873 6 877
7566 537 485
9603 225 713
1842 135 196
2622 872 948
7757 531 128
6751 873 424
8056 843 580
725 560 455
6428 909 767
2177 134 773
1055 700 662
7892 303 887
7957 497 374
1154 119 247
4454 228 778
1582 331 4
9358 740 199
5938 465 759
3746 894 20
9513 71 154
5638 478 206
5652 370 861
4539 328 358
1266 834 829
6865 640 409
6643 222 741
3999 933 481
550 223 946
9310 969 840
7682 482 264
189 472 742
4395 124 465
2609 16 145
